Product,FRS Date,End of Engineering,End of Support,Release Type
23.4,12/26/2023,12/26/2028,06/26/2029,EEOL
23.2,06/23/2023,06/23/2028,12/23/2028,EEOL
23.1,03/31/2023,12/31/2023,03/31/2024,EOL
22.4,12/22/2022,12/22/2025,06/22/2026,EEOL
22.3,09/28/2022,09/28/2024,03/28/2025,EOL
22.2,06/23/2022,06/23/2025,12/23/2025,EEOL
22.1,03/24/2022,03/24/2024,09/24/2024,EOL
21.4,12/20/2021,12/20/2024,06/20/2025,EEOL
21.3,09/23/2021,09/23/2023,03/23/2024,EOL
21.2,06/29/2021,06/29/2024,12/29/2024,EEOL
21.1,03/25/2021,03/25/2023,09/25/2023,EOL
20.4,12/25/2020,12/25/2023,06/25/2024,EEOL
20.3,09/29/2020,09/29/2022,03/29/2023,EOL
20.2,06/30/2020,06/30/2023,12/30/2023,EEOL
20.1,03/27/2020,03/27/2022,09/27/2022,EOL
19.4,12/26/2019,12/26/2022,06/26/2023,EEOL
19.3,09/26/2019,09/26/2022,03/26/2023,EEOL
19.2,06/26/2019,06/26/2022,12/26/2022,EEOL
19.1,03/27/2019,03/27/2022,09/27/2022,EEOL
18.4,12/22/2018,12/22/2021,06/22/2022,EEOL
18.3,09/26/2018,09/26/2021,03/26/2022,EEOL
18.2,06/29/2018,06/29/2021,12/29/2021,EEOL
18.1,03/28/2018,03/28/2021,09/28/2021,EEOL
17.4,12/21/2017,12/21/2020,06/21/2021,EEOL
17.3,08/25/2017,08/25/2020,02/25/2021,EEOL
17.2,06/06/2017,06/06/2020,12/06/2020,EEOL
17.1,03/03/2017,03/03/2020,09/03/2020,EEOL
16.2,11/29/2016,11/29/2019,05/29/2020,EEOL
16.1,07/28/2016,07/28/2019,01/28/2020,EEOL
15.1X53,06/05/2015,06/05/2018,12/05/2018,EEOL
15.1X49,06/30/2015,12/31/2020,06/30/2021,EEOL
15.1,06/05/2015,06/05/2018,12/05/2018,EEOL
14.2,11/05/2014,11/05/2017,05/05/2018,EEOL
14.1X53,09/26/2014,12/31/2018,06/30/2019,EEOL
14.1,06/13/2014,12/13/2017,06/13/2018,EEOL
13.3,01/22/2014,01/22/2017,07/22/2017,EEOL
13.2X52,07/06/2014,12/31/2016,06/30/2017,EOL
13.2X51,11/22/2013,12/31/2015,06/30/2016,EOL
13.2X50,06/28/2013,06/28/2014,12/28/2014,EOL
13.2,08/29/2013,08/29/2015,02/29/2016,EOL
13.1X50,07/25/2013,06/30/2015,12/30/2015,EOL
13.1,03/15/2013,03/15/2015,09/15/2015,EOL
12.3X54,07/18/2014,01/18/2018,07/18/2018,EEOL
12.3X52,08/23/2013,08/23/2015,02/23/2016,EOL
12.3X51,03/15/2013,03/15/2015,09/15/2015,EOL
12.3X50,12/08/2012,01/31/2016,07/31/2016,EEOL
12.3X48,03/06/2015,06/30/2020,06/30/2022,EEOL
12.3,01/31/2013,01/31/2016,07/31/2016,EEOL
12.2X50,07/05/2012,01/31/2015,07/31/2015,EEOL
12.2,09/05/2012,09/05/2014,03/05/2015,EOL
12.1X49,04/19/2012,04/19/2014,10/19/2014,EOL
12.1X48,01/28/2013,12/30/2014,06/30/2015,EOL
12.1X47,08/18/2014,08/18/2016,02/18/2017,EEOL
12.1X46,12/30/2013,12/30/2016,06/30/2017,EEOL
12.1X45,07/17/2013,07/17/2014,01/17/2015,EOL
12.1X44,01/18/2013,01/18/2016,07/18/2016,EEOL
12.1,03/28/2012,03/28/2014,09/28/2014,EOL
11.4,12/21/2011,12/21/2014,06/21/2015,EEOL
11.3,08/15/2011,07/15/2012,03/15/2013,EOL
11.2,08/03/2011,06/15/2012,02/15/2013,EOL
11.1,03/29/2011,11/15/2011,05/15/2012,EOL
10.4,12/08/2010,12/08/2013,06/08/2014,EEOL
10.3,08/15/2010,08/03/2011,12/21/2011,EOL
10.2,05/28/2010,05/15/2011,11/15/2011,EOL
10.1,02/15/2010,11/15/2010,05/15/2011,EOL
10.0,11/04/2009,11/15/2012,05/15/2013,EEOL
9.6,08/06/2009,05/06/2010,11/06/2010,EOL
9.5,04/14/2009,02/15/2010,08/15/2010,EOL
9.4,02/11/2009,11/11/2009,05/11/2010,EOL
9.3,11/14/2008,11/15/2011,05/15/2012,EEOL
9.2,08/12/2008,05/12/2009,11/12/2009,EOL
9.1,04/28/2008,01/28/2009,07/28/2009,EOL
9.0,02/15/2008,11/15/2008,05/15/2009,EOL
8.5,11/16/2007,11/16/2010,05/16/2011,EEOL
8.4,08/09/2007,05/09/2008,11/09/2008,EOL
8.3,04/18/2007,01/18/2008,07/18/2008,EOL
8.2,02/15/2007,11/15/2007,05/15/2008,EOL
8.1,11/06/2006,11/06/2009,05/06/2010,EEOL
8.0,08/15/2006,05/15/2007,11/15/2007,EOL
7.6,05/15/2006,02/15/2007,08/15/2007,EOL
7.5,02/08/2006,11/08/2006,05/08/2007,EOL
7.4,11/15/2005,08/15/2006,02/15/2007,EOL
7.3,08/16/2005,05/16/2006,11/16/2006,EEOL
7.2,05/14/2005,02/14/2006,08/14/2006,EOL
7.1,02/14/2005,11/14/2005,05/14/2006,EOL
7.0,11/15/2004,08/15/2005,02/15/2006,EOL
6.4,08/12/2004,05/12/2005,11/12/2005,EOL
6.3,05/15/2004,02/15/2005,08/15/2005,EOL
6.2,02/15/2004,11/15/2004,05/15/2005,EOL
6.1,11/15/2003,08/15/2004,02/15/2005,EOL
6.0,08/15/2003,05/15/2004,11/15/2004,EOL
5.7,05/15/2003,02/15/2004,08/15/2004,EOL
5.6,02/15/2003,11/15/2003,05/15/2004,EOL
5.5,11/15/2002,08/15/2003,02/15/2004,EOL
5.4,08/12/2002,05/15/2003,11/15/2003,EOL
5.3,05/12/2002,02/15/2003,08/15/2003,EOL
5.2,02/12/2002,11/12/2002,05/15/2003,EOL
5.1,11/07/2001,08/12/2002,02/15/2003,EOL
5.0,08/17/2001,05/15/2002,11/15/2002,EOL
4.4,04/30/2001,,,
